peak,rank_ne,rank_state,rank_range,state,range,ascents,elevation_ft,elevation_m,prominence_ft,prominence_m,key_col_ft,key_col_m,prominence_ratio
Mount Washington,1,1,1,New Hampshire,Presidential Range,6902,6286,1916,6146,1873,140,43,0.977728285077951
Mount Adams,2,2,2,New Hampshire,Presidential Range,3214,5797,1767,865,264,4932,1503,0.14921511126444711
Mount Jefferson,3,3,3,New Hampshire,Presidential Range,3111,5714,1742,756,230,4958,1512,0.13230661533076654
Mount Monroe,4,4,4,New Hampshire,Presidential Range,3089,5371,1637,284,87,5087,1550,0.05287655929994414
Mount Madison,5,5,5,New Hampshire,Presidential Range,3082,5363,1635,468,143,4895,1492,0.08726459071415253
Mount Marcy,6,1,1,New York,Adirondack High Peaks,3143,5344,1629,4917,1499,427,130,0.9200973053892215
Katahdin,7,1,1,Maine,Katahdin Area,2789,5267,1605,4287,1307,980,298,0.8139358268464021
Mount Lafayette,8,6,1,New Hampshire,Franconia Area,4583,5243,1598,3348,1020,1895,578,0.6385657066564944
Algonquin Peak,9,2,2,New York,Adirondack High Peaks,2496,5115,1559,2107,642,3008,917,0.41192570869990225
Mount Lincoln,10,7,2,New Hampshire,Franconia Area,4075,5080,1549,197,60,4883,1489,0.038779527559055116
Mount Haystack,11,3,3,New York,Adirondack High Peaks,1210,4948,1508,805,245,4143,1263,0.16269199676637025
Mount Skylight,12,4,4,New York,Adirondack High Peaks,1176,4926,1502,568,173,4358,1329,0.11530653674380836
South Twin,13,8,3,New Hampshire,Franconia Area,2676,4899,1493,1536,468,3363,1025,0.31353337415799143
Whiteface Mountain,14,5,1,New York,Northern Adirondacks,1827,4862,1482,3118,950,1744,532,0.6412998765939942
Dix Mountain,15,6,5,New York,Adirondack High Peaks,1283,4858,1481,2852,869,2006,612,0.5870728694936188
Basin Mountain,16,7,6,New York,Adirondack High Peaks,1141,4857,1480,772,235,4085,1245,0.1589458513485691
Iroquois Peak,17,8,7,New York,Adirondack High Peaks,1544,4850,1478,163,50,4687,1428,0.03360824742268041
Carter Dome,18,9,1,New Hampshire,Eastern White Mountains,2176,4839,1475,2827,862,2012,613,0.5842116139698285
Gray Peak,19,9,8,New York,Adirondack High Peaks,1035,4834,1473,109,33,4725,1440,0.02254861398427803
Mount Moosilauke,20,10,1,New Hampshire,Western White Mountains,3500,4800,1463,2925,892,1875,571,0.609375
Mount Eisenhower,21,11,6,New Hampshire,Presidential Range,3209,4763,1452,353,108,4410,1344,0.07411295402057527
North Twin,22,12,4,New Hampshire,Franconia Area,2093,4759,1451,322,98,4437,1353,0.06766127337675983
Hamlin Peak,23,2,2,Maine,Katahdin Area,902,4752,1448,513,156,4239,1292,0.10795454545454546
Gothics,24,10,9,New York,Adirondack High Peaks,1748,4742,1445,718,219,4024,1226,0.15141290594685786
Mount Colden,25,11,10,New York,Adirondack High Peaks,1511,4720,1439,894,272,3826,1167,0.18940677966101696
Mount Bond,26,13,5,New Hampshire,Franconia Area,2146,4696,1431,352,107,4344,1324,0.07495741056218058
Mount Carrigain,27,14,6,New Hampshire,Franconia Area,1836,4680,1427,2222,677,2458,750,0.47478632478632476
Nippletop,28,12,11,New York,Adirondack High Peaks,1210,4633,1412,1398,426,3235,986,0.30174832721778544
Giant Mountain,29,13,1,New York,Eastern Adirondacks,2230,4629,1411,2977,907,1652,504,0.6431194642471376
Middle Carter Mountain,30,15,2,New Hampshire,Eastern White Mountains,1952,4623,1409,715,218,3908,1191,0.15466147523253299
Mount Redfield,31,14,12,New York,Adirondack High Peaks,891,4613,1406,265,81,4348,1325,0.057446347279427705
Santanoni Peak,32,15,13,New York,Adirondack High Peaks,980,4606,1404,2418,737,2188,667,0.5249674337820235
Wright Peak,33,16,14,New York,Adirondack High Peaks,1926,4582,1396,287,87,4295,1309,0.06263640331732867
Saddleback Mountain,34,17,15,New York,Adirondack High Peaks,1231,4540,1384,361,110,4179,1274,0.07951541850220264
West Bond,35,16,7,New Hampshire,Franconia Area,1858,4517,1377,215,66,4302,1311,0.047597963249944655
Mount Garfield,36,17,8,New Hampshire,Franconia Area,2729,4501,1372,855,261,3646,1111,0.18995778715840925
Mount Liberty,37,18,9,New Hampshire,Franconia Area,3135,4457,1359,447,136,4010,1223,0.1002916760152569
Armstrong Mountain,38,18,16,New York,Adirondack High Peaks,1508,4453,1357,127,39,4326,1318,0.02852009880979115
Panther Peak,39,19,17,New York,Adirondack High Peaks,956,4446,1355,307,94,4139,1261,0.06905083220872694
South Carter Mountain,40,19,3,New Hampshire,Eastern White Mountains,1951,4445,1355,227,69,4218,1286,0.05106861642294713
Table Top Mountain,41,20,18,New York,Adirondack High Peaks,1383,4424,1348,423,129,4001,1219,0.09561482820976491
Hough Peak,42,21,19,New York,Adirondack High Peaks,1119,4417,1346,377,115,4040,1231,0.08535204890196967
Rocky Peak Ridge,43,22,2,New York,Eastern Adirondacks,1447,4406,1343,642,196,3764,1147,0.1457103949160236
